Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2021-03-03,2689.1845703125,2693.49196181922,2634.505808531232,2667.9987284991294,3509857
2021-03-04,2680.9208984375,2708.8315912558814,2651.340045282069,2657.4495870855635,3916760
2021-03-05,2644.307861328125,2692.7888765877847,2634.2424716557,2651.38447476698,3203686
2021-03-08,2643.34033203125,2666.240328983953,2633.714482570367,2651.2960211723052,2003125
2021-03-09,2682.02001953125,2696.0412552244425,2630.28646512969,2643.3406302433177,1942397
2021-03-10,2699.601806640625,2719.1612723280527,2689.975955214769,2703.1621118579787,3053778
2021-03-12,2688.173583984375,2740.0831259740735,2673.5810339324644,2703.161890397907,2938317
2021-03-15,2695.382080078125,2724.2598477579736,2673.2733775514675,2673.2733775514675,3097083
2021-03-16,2733.97314453125,2761.180531550743,2689.9753029434173,2689.9753029434173,4894756
2021-03-17,2736.522705078125,2773.487935863313,2712.2163118679223,2729.534085849631,3838390
2021-03-18,2669.316650390625,2765.9710997147554,2625.846346414307,2747.9500256712818,3656306
2021-03-19,2681.360595703125,2724.259595798463,2641.6263586235505,2663.603283404112,5776626
2021-03-22,2751.203369140625,2759.8183670461376,2653.6258178158228,2680.04212576032,2821646
2021-03-23,2762.58740234375,2785.7949487612345,2745.225631994102,2760.301716349093,3305973
2021-03-24,2743.686767578125,2771.1139216266733,2734.9397814644067,2734.9837782293816,2207104
2021-03-25,2694.238525390625,2752.2575922323485,2681.184149503896,2735.862681694699,3179786
2021-03-26,2695.953857421875,2740.9625647597964,2675.075775025132,2716.919718762905,3697370
2021-03-30,2776.6083984375,2802.892712023387,2690.766409978978,2710.194095407423,4694008
2021-03-31,2793.5751953125,2817.4420522792884,2753.269425191492,2773.4881981095646,3530069
2021-04-01,2782.27880859375,2826.232660230302,2764.6972679391292,2805.2228049953965,4285076
2021-04-05,2847.2421875,2868.4280273958516,2769.9714110708946,2787.5529497003513,5317862
2021-04-06,2869.922119140625,2878.976653524238,2839.4181956895536,2878.976653524238,2291562
2021-04-07,2875.812744140625,2881.219197086175,2843.6386509952085,2864.912273928864,2491268
2021-04-08,2916.206298828125,2931.7219227066266,2871.1096038400187,2874.581915217592,2578118
2021-04-09,2920.51318359375,2948.7316374728152,2907.986337972195,2948.42387471546,2911129
2021-04-12,2853.967529296875,2934.4470730375683,2824.650224965105,2920.5136164862206,3791828
2021-04-13,2728.69921875,2825.3536995556697,2701.4478296130287,2825.3536995556697,8654596
2021-04-15,2829.704833984375,2845.791985824758,2714.1062098015173,2778.1470543691926,6062760
2021-04-16,2808.782470703125,2854.362693807616,2797.7502273047353,2838.5393096103458,3224657
2021-04-19,2779.46533203125,2803.3761803289435,2755.994022175126,2785.794642666172,2679106
2021-04-20,2764.3017578125,2835.331225793192,2748.302598557501,2835.02346298085,3141893
2021-04-22,2741.666015625,2767.3350269538664,2729.754476635481,2767.3350269538664,1988980
2021-04-23,2733.489990234375,2741.8412219138177,2717.2710621595616,2729.534143649376,1615309
2021-04-26,2725.842041015625,2771.7298181062615,2714.633809115576,2726.9408872803356,2490260
2021-04-27,2753.26904296875,2756.8733443576716,2727.7758110894097,2730.4130419734793,1471417
